"";"number";"state";"DST";"ORG";"PRD";"sec_new";"IND";"COM";"usr_new";"USR"
"1";0;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2";1;"AC";"AC_RUF";"AC_RUF";"AC_RUF";"agr";"ArrozTriCer";"ArrozTriCer";"agr";"ArrozTriCer"
"3";2;"AC";"AC_CAP";"AC_CAP";"AC_CAP";"agr";"MilhoGrao";"MilhoGrao";"agr";"MilhoGrao"
"4";3;"AL";"AL_RUF";"AL_RUF";"AL_RUF";"agr";"AlgFibTemp";"AlgFibTemp";"agr";"AlgFibTemp"
"5";4;"AL";"AL_RRM";"AL_RRM";"AL_RRM";"agr";"Canadeacu";"Canadeacu";"agr";"Canadeacu"
"6";5;"AL";"AL_CAP";"AL_CAP";"AL_CAP";"agr";"SojaGrao";"SojaGrao";"agr";"SojaGrao"
"7";6;"AM";"AM_RUF";"AM_RUF";"AM_RUF";"agr";"OutTempor";"OutTempor";"agr";"OutTempor"
"8";7;"AM";"AM_RRM";"AM_RRM";"AM_RRM";"agr";"Laranja";"Laranja";"agr";"Laranja"
"9";8;"AM";"AM_CAP";"AM_CAP";"AM_CAP";"agr";"CafeGrao";"CafeGrao";"agr";"CafeGrao"
"10";9;"AP";"AP_RUF";"AP_RUF";"AP_RUF";"agr";"OutPerman";"OutPerman";"agr";"OutPerman"
"11";10;"AP";"AP_CAP";"AP_CAP";"AP_CAP";"agr";"BovOutAni";"BovOutAni";"agr";"BovOutAni"
"12";11;"AP";"AP_RRM";"AP_RRM";"AP_RRM";"agr";"LeiteVacOut";"LeiteVacOut";"agr";"LeiteVacOut"
"13";12;"BA";"BA_RUF";"BA_RUF";"BA_RUF";"agr";"Suinos";"Suinos";"agr";"Suinos"
"14";13;"BA";"BA_RRM";"BA_RRM";"BA_RRM";"agr";"AvesOvos";"AvesOvos";"agr";"AvesOvos"
"15";14;"BA";"BA_CAP";"BA_CAP";"BA_CAP";"agr";"ProdExplSilv";"ProdExplSilv";"agr";"ProdExplSilv"
"16";15;"CE";"CE_RUF";"CE_RUF";"CE_RUF";"agr";"PescAgric";"PescAgric";"agr";"PescAgric"
"17";16;"CE";"CE_RRM";"CE_RRM";"CE_RRM";"ind";"CarvMinera";"CarvMinera";"ind";"CarvMinera"
"18";17;"CE";"CE_CAP";"CE_CAP";"CE_CAP";"ind";"MinerNMet";"MinerNMet";"ind";"MinerNMet"
"19";18;"DF";"DF_CAP";"DF_CAP";"DF_CAP";"ind";"PetrGasServ";"PetrGasServ";"ind";"PetrGasServ"
"20";19;"ES";"ES_RUF";"ES_RUF";"ES_RUF";"ind";"MinerFerro";"MinerFerro";"ind";"MinerFerro"
"21";20;"ES";"ES_RRM";"ES_RRM";"ES_RRM";"ind";"MinMetNFer";"MinMetNFer";"ind";"MinMetNFer"
"22";21;"ES";"ES_CAP";"ES_CAP";"ES_CAP";"ind";"CarneBoiOut";"CarneBoiOut";"ind";"CarneBoiOut"
"23";22;"GO";"GO_RRM";"GO_RRM";"GO_RRM";"ind";"CarneSuino";"CarneSuino";"ind";"CarneSuino"
"24";23;"GO";"GO_RUF";"GO_RUF";"GO_RUF";"ind";"CarneAves";"CarneAves";"ind";"CarneAves"
"25";24;"GO";"GO_CAP";"GO_CAP";"GO_CAP";"ind";"PescIndus";"PescIndus";"ind";"PescIndus"
"26";25;"MA";"MA_RUF";"MA_RUF";"MA_RUF";"ind";"LeiteResPas";"LeiteResPas";"ind";"LeiteResPas"
"27";26;"MA";"MA_RRM";"MA_RRM";"MA_RRM";"ind";"OutrLaticin";"OutrLaticin";"ind";"OutrLaticin"
"28";27;"MA";"MA_CAP";"MA_CAP";"MA_CAP";"ind";"Acucar";"Acucar";"ind";"Acucar"
"29";28;"MG";"MG_RUF";"MG_RUF";"MG_RUF";"ind";"ConsFruLeg";"ConsFruLeg";"ind";"ConsFruLeg"
"30";29;"MG";"MG_RRM";"MG_RRM";"MG_RRM";"ind";"OleoGord";"OleoGord";"ind";"OleoGord"
"31";30;"MG";"MG_CAP";"MG_CAP";"MG_CAP";"ind";"CafeBenef";"CafeBenef";"ind";"CafeBenef"
"32";31;"MS";"MS_RUF";"MS_RUF";"MS_RUF";"ind";"ArrozBenef";"ArrozBenef";"ind";"ArrozBenef"
"33";32;"MS";"MS_CAP";"MS_CAP";"MS_CAP";"ind";"ProdTrigMan";"ProdTrigMan";"ind";"ProdTrigMan"
"34";33;"MT";"MT_RRM";"MT_RRM";"MT_RRM";"ind";"RacoesAnim";"RacoesAnim";"ind";"RacoesAnim"
"35";34;"MT";"MT_RUF";"MT_RUF";"MT_RUF";"ind";"OutrAlimen";"OutrAlimen";"ind";"OutrAlimen"
"36";35;"MT";"MT_CAP";"MT_CAP";"MT_CAP";"ind";"Bebidas";"Bebidas";"ind";"Bebidas"
"37";36;"PA";"PA_RUF";"PA_RUF";"PA_RUF";"ind";"Fumo";"Fumo";"ind";"Fumo"
"38";37;"PA";"PA_RRM";"PA_RRM";"PA_RRM";"ind";"FioFibraTex";"FioFibraTex";"ind";"FioFibraTex"
